SB vs ISO 10BB
Hand,AI,CALL,FOLD
3c2c,0,100,0
4c2c,0,75,25
4c3c,0,100,0
5c2c,0,75,25
5c3c,0,100,0
5c4d,0,0,100
5c4h,0,0,100
5c4s,0,0,100
6c2c,0,0,100
6c3c,0,75,25
6c4d,0,0,100
6c5d,0,0,100
6c4h,0,0,100
6c5h,0,0,100
6c4s,0,0,100
6c5s,0,0,100
7c2c,0,0,100
7c3c,0,0,100
7c4c,0,100,0
7c4d,0,0,100
7c5d,0,0,100
7c6d,0,0,100
7c4h,0,0,100
7c5h,0,0,100
7c6h,0,0,100
7c4s,0,0,100
7c5s,0,0,100
7c6s,0,0,100
8c2c,0,0,100
8c3c,0,0,100
8c4c,0,0,100
8c5c,0,100,0
8c4d,0,0,100
8c5d,0,0,100
8c6d,0,0,100
8c7d,0,50,50
8c4h,0,0,100
8c5h,0,0,100
8c6h,0,0,100
8c7h,0,50,50
8c4s,0,0,100
8c5s,0,0,100
8c6s,0,0,100
8c7s,0,50,50
9c2c,0,0,100
9c3c,0,0,100
9c4c,0,80,20
9c5c,0,100,0
9c8c,0,100,0
9c4d,0,0,100
9c5d,0,0,100
9c6d,0,0,100
9c7d,0,25,75
9c8d,0,100,0
9c4h,0,0,100
9c5h,0,0,100
9c6h,0,0,100
9c7h,0,25,75
9c8h,0,100,0
9c4s,0,0,100
9c5s,0,0,100
9c6s,0,0,100
9c7s,0,25,75
9c8s,0,100,0
Tc2c,0,100,0
Tc3c,0,100,0
Tc4c,0,100,0
Tc5c,0,100,0
Tc8c,0,100,0
Tc9c,0,100,0
Tc2d,0,0,100
Tc3d,0,0,100
Tc4d,0,0,100
Tc5d,0,0,100
Tc6d,0,0,100
Tc7d,0,75,25
Tc8d,0,100,0
Tc9d,0,100,0
Tc2h,0,0,100
Tc3h,0,0,100
Tc4h,0,0,100
Tc5h,0,0,100
Tc6h,0,0,100
Tc7h,0,75,25
Tc8h,0,100,0
Tc9h,0,100,0
Tc2s,0,0,100
Tc3s,0,0,100
Tc4s,0,0,100
Tc5s,0,0,100
Tc6s,0,0,100
