BB vs LIMP 13BB
Hand,AI,RAISE,CHECK
3c2c,0,0,100
3c2d,0,25,75
3c2h,0,25,75
3c2s,0,25,75
4c2c,0,0,100
4c3c,0,0,100
4c2d,0,0,100
4c3d,0,25,75
4c2h,0,0,100
4c3h,0,25,75
4c2s,0,0,100
4c3s,0,25,75
5c2c,0,0,100
5c3c,0,0,100
5c4c,75,0,25
5c2d,0,25,75
5c3d,0,0,100
5c4d,0,25,75
5c2h,0,25,75
5c3h,0,0,100
5c4h,0,25,75
5c2s,0,25,75
5c3s,0,0,100
5c4s,0,25,75
6c2c,0,0,100
6c3c,50,0,50
6c4c,75,0,25
6c5c,100,0,0
6c2d,0,0,100
6c3d,0,25,75
6c4d,0,0,100
6c5d,0,0,100
6c2h,0,0,100
6c3h,0,25,75
6c4h,0,0,100
6c5h,0,0,100
6c2s,0,0,100
6c3s,0,25,75
6c4s,0,0,100
6c5s,0,0,100
7c2c,0,0,100
7c3c,0,0,100
7c4c,0,0,100
7c5c,75,0,25
7c6c,100,0,0
7c2d,0,0,100
7c3d,0,25,75
7c4d,0,25,75
7c5d,25,0,75
7c6d,50,0,50
7c2h,0,0,100
7c3h,0,25,75
7c4h,0,25,75
7c5h,25,0,75
7c6h,50,0,50
7c2s,0,0,100
7c3s,0,25,75
7c4s,0,25,75
7c5s,25,0,75
7c6s,50,0,50
8c2c,0,0,100
8c3c,0,0,100
8c4c,25,0,75
8c5c,0,0,100
8c6c,100,0,0
8c7c,100,0,0
8c2d,0,0,100
8c3d,0,0,100
8c4d,0,25,75
8c5d,0,25,75
8c6d,0,25,75
8c7d,25,0,75
8c2h,0,0,100
8c3h,0,0,100
8c4h,0,25,75
8c5h,0,25,75
8c6h,0,25,75
8c7h,25,0,75
8c2s,0,0,100
8c3s,0,0,100
8c4s,0,25,75
8c5s,0,25,75
8c6s,0,25,75
8c7s,25,0,75
9c2c,0,25,75
9c3c,0,0,100
9c4c,0,0,100
9c5c,0,0,100
9c6c,25,0,75
9c7c,75,0,25
9c8c,0,50,50
9c2d,0,25,75
9c3d,0,0,100
9c4d,0,0,100
9c5d,0,25,75
9c6d,0,25,75
9c7d,25,0,75
9c8d,0,0,100
9c2h,0,25,75
9c3h,0,0,100
9c4h,0,0,100
9c5h,0,25,75
9c6h,0,25,75
9c7h,25,0,75
9c8h,0,0,100
9c2s,0,25,75
9c3s,0,0,100
9c4s,0,0,100
9c5s,0,25,75
9c6s,0,25,75
9c7s,25,0,75
9c8s,0,0,100
Tc2c,0,0,100
Tc3c,0,0,100
Tc4c,0,0,100
Tc5c,0,0,100
Tc6c,25,0,75
Tc7c,0,0,100
Tc8c,0,0,100
Tc9c,0,75,25
Tc2d,0,25,75
Tc3d,0,0,100
Tc4d,0,50,50
Tc5d,0,0,100
Tc6d,0,25,75
Tc7d,0,25,75
Tc8d,25,25,50
Tc9d,0,0,100
Tc2h,0,25,75
Tc3h,0,0,100
Tc4h,0,50,50
Tc5h,0,0,100
Tc6h,0,25,75
Tc7h,0,25,75
Tc8h,25,25,50
Tc9h,0,0,100
Tc2s,0,25,75
Tc3s,0,0,100
Tc4s,0,50,50
Tc5s,0,0,100
Tc6s,0,25,75
Tc7s,0,25,75
Tc8s,25,25,50
Tc9s,0,0,100
Jc2c,0,0,100
Jc3c,0,0,100
Jc4c,0,0,100
Jc5c,0,0,100
Jc6c,0,0,100
Jc7c,0,0,100
Jc8c,0,0,100
Jc9c,0,0,100
JcTc,0,75,25
Jc2d,0,25,75
Jc3d,0,25,75
Jc4d,0,0,100
Jc5d,0,25,75
Jc6d,0,25,75
Jc7d,0,25,75
Jc8d,0,25,75
Jc9d,0,50,50
JcTd,0,0,100
Jc2h,0,25,75
Jc3h,0,25,75
Jc4h,0,0,100
Jc5h,0,25,75
Jc6h,0,25,75
Jc7h,0,25,75
Jc8h,0,25,75
Jc9h,0,50,50
JcTh,0,0,100
Jc2s,0,25,75
Jc3s,0,25,75
Jc4s,0,0,100
Jc5s,0,25,75
Jc6s,0,25,75
Jc7s,0,25,75
Jc8s,0,25,75
Jc9s,0,50,50
JcTs,0,0,100
Qc2c,0,0,100
Qc3c,0,0,100
Qc4c,0,0,100
Qc5c,0,0,100
Qc6c,0,0,100
Qc7c,0,0,100
Qc8c,0,0,100
Qc9c,0,0,100
QcTc,0,50,50
QcJc,0,50,50
Qc2d,25,25,50
Qc3d,0,0,100
Qc4d,25,0,75
Qc5d,0,0,100
Qc6d,0,33.3333333,66.6666667
Qc7d,0,25,75
Qc8d,25,25,50
Qc9d,0,25,75
