BB vs Ls 16BB
Hand,CALL,FOLD
3c2c,0,100
3c2d,0,100
3c2h,0,100
3c2s,0,100
4c3d,0,100
4c3h,0,100
4c3s,0,100
5c4c,0,100
5c2d,0,100
5c4d,0,100
5c2h,0,100
5c4h,0,100
5c2s,0,100
5c4s,0,100
6c3c,0,100
6c3d,0,100
6c3h,0,100
6c3s,0,100
7c3d,0,100
7c4d,0,100
7c6d,0,100
7c3h,0,100
7c4h,0,100
7c6h,0,100
7c3s,0,100
7c4s,0,100
7c6s,0,100
8c4d,0,100
8c5d,0,100
8c6d,0,100
8c7d,0,100
8c4h,0,100
8c5h,0,100
8c6h,0,100
8c7h,0,100
8c4s,0,100
8c5s,0,100
8c6s,0,100
8c7s,0,100
9c2c,0,100
9c8c,100,0
9c2d,0,100
9c5d,0,100
9c6d,0,100
9c7d,0,100
9c2h,0,100
9c5h,0,100
9c6h,0,100
9c7h,0,100
9c2s,0,100
9c5s,0,100
9c6s,0,100
9c7s,0,100
Tc9c,100,0
Tc2d,0,100
Tc4d,0,100
Tc6d,0,100
Tc7d,0,100
Tc2h,0,100
Tc4h,0,100
Tc6h,0,100
Tc7h,0,100
Tc2s,0,100
Tc4s,0,100
Tc6s,0,100
Tc7s,0,100
JcTc,100,0
Jc2d,0,100
Jc3d,0,100
Jc5d,0,100
Jc7d,0,100
Jc8d,0,100
Jc9d,0,100
Jc2h,0,100
Jc3h,0,100
Jc5h,0,100
Jc7h,0,100
Jc8h,0,100
Jc9h,0,100
Jc2s,0,100
Jc3s,0,100
Jc5s,0,100
Jc7s,0,100
Jc8s,0,100
Jc9s,0,100
QcTc,100,0
QcJc,100,0
Qc2d,0,100
Qc7d,0,100
Qc8d,0,100
Qc9d,0,100
QcJd,0,100
Qc2h,0,100
Qc7h,0,100
Qc8h,0,100
Qc9h,0,100
QcJh,0,100
Qc2s,0,100
Qc7s,0,100
Qc8s,0,100
Qc9s,0,100
QcJs,0,100
KcTc,100,0
KcJc,100,0
KcQc,100,0
Kc7d,0,100
Kc8d,0,100
Kc9d,0,100
KcTd,0,100
KcQd,100,0
Kc7h,0,100
Kc8h,0,100
Kc9h,0,100
KcTh,0,100
KcQh,100,0
Kc7s,0,100
Kc8s,0,100
Kc9s,0,100
KcTs,0,100
KcQs,100,0
Ac5c,100,0
Ac6c,100,0
Ac7c,100,0
Ac9c,100,0
AcTc,100,0
AcJc,100,0
AcQc,100,0
AcKc,100,0
3d2c,0,100
3d2d,0,100
3d2h,0,100
3d2s,0,100
4d3c,0,100
4d3h,0,100
4d3s,0,100
5d2c,0,100
5d4c,0,100
5d4d,0,100
5d2h,0,100
5d4h,0,100
5d2s,0,100
5d4s,0,100
6d3c,0,100
6d6c,100,0
6d3d,0,100
6d3h,0,100
6d3s,0,100
7d3c,0,100
7d4c,0,100
7d6c,0,100
7d7c,100,0
7d3h,0,100
7d4h,0,100
7d6h,0,100
7d3s,0,100
7d4s,0,100
7d6s,0,100
8d4c,0,100
8d5c,0,100
8d6c,0,100
8d7c,0,100
