SB vs ISOS
Hand,CALL,FOLD
3c2c,0,100
3c2d,0,100
3c2h,0,100
3c2s,0,100
4c2c,0,100
4c3c,0,100
4c2d,0,100
4c3d,0,100
4c2h,0,100
4c3h,0,100
4c2s,0,100
4c3s,0,100
5c2c,0,100
5c3c,0,100
5c4c,0,100
5c2d,0,100
5c3d,0,100
5c4d,0,100
5c2h,0,100
5c3h,0,100
5c4h,0,100
5c2s,0,100
5c3s,0,100
5c4s,0,100
6c2c,0,100
6c3c,0,100
6c4c,0,100
6c5c,0,100
6c2d,0,100
6c3d,0,100
6c4d,0,100
6c5d,0,100
6c2h,0,100
6c3h,0,100
6c4h,0,100
6c5h,0,100
6c2s,0,100
6c3s,0,100
6c4s,0,100
6c5s,0,100
7c2c,0,100
7c3c,0,100
7c4c,0,100
7c5c,0,100
7c6c,0,100
7c2d,0,100
7c3d,0,100
7c4d,0,100
7c5d,0,100
7c6d,0,100
7c2h,0,100
7c3h,0,100
7c4h,0,100
7c5h,0,100
7c6h,0,100
7c2s,0,100
7c3s,0,100
7c4s,0,100
7c5s,0,100
7c6s,0,100
8c2c,0,100
8c3c,0,100
8c4c,0,100
8c5c,0,100
8c6c,0,100
8c7c,0,100
8c2d,0,100
8c3d,0,100
8c4d,0,100
8c5d,0,100
8c6d,0,100
8c7d,0,100
8c2h,0,100
8c3h,0,100
8c4h,0,100
8c5h,0,100
8c6h,0,100
8c7h,0,100
8c2s,0,100
8c3s,0,100
8c4s,0,100
8c5s,0,100
8c6s,0,100
8c7s,0,100
9c2c,0,100
9c3c,0,100
9c4c,0,100
9c5c,0,100
9c6c,0,100
9c7c,0,100
9c8c,0,100
9c2d,0,100
9c3d,0,100
9c4d,0,100
9c5d,0,100
9c6d,0,100
9c7d,0,100
9c8d,0,100
9c2h,0,100
9c3h,0,100
9c4h,0,100
9c5h,0,100
9c6h,0,100
9c7h,0,100
9c8h,0,100
9c2s,0,100
9c3s,0,100
9c4s,0,100
9c5s,0,100
9c6s,0,100
9c7s,0,100
9c8s,0,100
Tc2c,0,100
Tc3c,0,100
Tc4c,0,100
Tc5c,0,100
Tc6c,0,100
Tc7c,0,100
Tc8c,0,100
Tc9c,0,100
Tc2d,0,100
Tc3d,0,100
Tc4d,0,100
Tc5d,0,100
Tc6d,0,100
Tc7d,0,100
Tc8d,0,100
Tc9d,0,100
Tc2h,0,100
Tc3h,0,100
Tc4h,0,100
Tc5h,0,100
Tc6h,0,100
Tc7h,0,100
Tc8h,0,100
Tc9h,0,100
Tc2s,0,100
Tc3s,0,100
Tc4s,0,100
Tc5s,0,100
Tc6s,0,100
Tc7s,0,100
Tc8s,0,100
Tc9s,0,100
Jc2c,0,100
Jc3c,0,100
Jc4c,0,100
Jc5c,0,100
Jc6c,0,100
Jc7c,0,100
Jc8c,0,100
Jc9c,0,100
JcTc,100,0
Jc2d,0,100
Jc3d,0,100
Jc4d,0,100
Jc5d,0,100
Jc6d,0,100
Jc7d,0,100
Jc8d,0,100
Jc9d,0,100
JcTd,0,100
