SB vs ISOS 8BB
Hand,CALL,FOLD
4c2c,0,100
4c3c,0,100
5c2c,0,100
5c3c,0,100
5c4d,0,100
5c4h,0,100
5c4s,0,100
6c3c,0,100
6c5d,0,100
6c5h,0,100
6c5s,0,100
7c3c,0,100
7c4c,0,100
7c5d,0,100
7c6d,0,100
7c5h,0,100
7c6h,0,100
7c5s,0,100
7c6s,0,100
8c2c,0,100
8c3c,0,100
8c4c,0,100
8c5d,0,100
8c6d,0,100
8c7d,0,100
8c5h,0,100
8c6h,0,100
8c7h,0,100
8c5s,0,100
8c6s,0,100
8c7s,0,100
9c2c,0,100
9c3c,0,100
9c4c,0,100
9c5c,0,100
9c8c,100,0
9c5d,0,100
9c6d,0,100
9c7d,0,100
9c8d,0,100
9c5h,0,100
9c6h,0,100
9c7h,0,100
9c8h,0,100
9c5s,0,100
9c6s,0,100
9c7s,0,100
9c8s,0,100
Tc2c,0,100
Tc3c,0,100
Tc4c,0,100
Tc5c,0,100
Tc8c,100,0
Tc9c,100,0
Tc5d,0,100
Tc6d,0,100
Tc7d,0,100
Tc8d,0,100
Tc5h,0,100
Tc6h,0,100
Tc7h,0,100
Tc8h,0,100
Tc5s,0,100
Tc6s,0,100
Tc7s,0,100
Tc8s,0,100
Jc2c,0,100
Jc3c,0,100
Jc8c,100,0
Jc9c,100,0
JcTc,100,0
Jc3d,0,100
Jc4d,0,100
Jc5d,0,100
Jc6d,0,100
Jc7d,0,100
Jc8d,0,100
JcTd,100,0
Jc3h,0,100
Jc4h,0,100
Jc5h,0,100
Jc6h,0,100
Jc7h,0,100
Jc8h,0,100
JcTh,100,0
Jc3s,0,100
Jc4s,0,100
Jc5s,0,100
Jc6s,0,100
Jc7s,0,100
Jc8s,0,100
JcTs,100,0
Qc7c,100,0
Qc8c,100,0
Qc9c,100,0
QcTc,100,0
QcJc,100,0
Qc2d,0,100
Qc3d,0,100
Qc4d,0,100
Qc5d,0,100
Qc6d,0,100
Qc7d,0,100
QcJd,100,0
Qc2h,0,100
Qc3h,0,100
Qc4h,0,100
Qc5h,0,100
Qc6h,0,100
Qc7h,0,100
QcJh,100,0
Qc2s,0,100
Qc3s,0,100
Qc4s,0,100
Qc5s,0,100
Qc6s,0,100
Qc7s,0,100
QcJs,100,0
Kc8c,100,0
Kc9c,100,0
KcTc,100,0
KcJc,100,0
KcQc,100,0
KcQd,100,0
KcQh,100,0
KcQs,100,0
AcTc,100,0
AcJc,100,0
AcQc,100,0
AcKc,100,0
4d2d,0,100
4d3d,0,100
5d4c,0,100
5d5c,100,0
5d2d,0,100
5d3d,0,100
5d4h,0,100
5d4s,0,100
6d5c,0,100
6d6c,100,0
6d3d,0,100
6d5h,0,100
6d5s,0,100
7d5c,0,100
7d6c,0,100
7d7c,100,0
7d3d,0,100
7d4d,0,100
7d5h,0,100
7d6h,0,100
7d5s,0,100
7d6s,0,100
8d5c,0,100
8d6c,0,100
8d7c,0,100
8d8c,100,0
8d2d,0,100
8d3d,0,100
8d4d,0,100
8d5h,0,100
8d6h,0,100
8d7h,0,100
8d5s,0,100
8d6s,0,100
8d7s,0,100
9d5c,0,100
9d6c,0,100
9d7c,0,100
9d8c,0,100
9d9c,100,0
9d2d,0,100
9d3d,0,100
9d4d,0,100
9d5d,0,100
9d8d,100,0
9d5h,0,100
9d6h,0,100
9d7h,0,100
9d8h,0,100
9d5s,0,100
9d6s,0,100
9d7s,0,100
9d8s,0,100
Td5c,0,100
Td6c,0,100
Td7c,0,100
Td8c,0,100
TdTc,100,0
Td2d,0,100
Td3d,0,100
Td4d,0,100
Td5d,0,100
Td8d,100,0
Td9d,100,0
Td5h,0,100
Td6h,0,100
Td7h,0,100
Td8h,0,100
Td5s,0,100
Td6s,0,100
Td7s,0,100
Td8s,0,100
Jd3c,0,100
Jd4c,0,100
Jd5c,0,100
Jd6c,0,100
Jd7c,0,100
Jd8c,0,100
JdTc,100,0
JdJc,100,0
Jd2d,0,100
Jd3d,0,100
Jd8d,100,0
Jd9d,100,0
JdTd,100,0
Jd3h,0,100
Jd4h,0,100
Jd5h,0,100
Jd6h,0,100
Jd7h,0,100
Jd8h,0,100
JdTh,100,0
Jd3s,0,100
Jd4s,0,100
Jd5s,0,100
Jd6s,0,100
Jd7s,0,100
Jd8s,0,100
JdTs,100,0
Qd2c,0,100
Qd3c,0,100
Qd4c,0,100
Qd5c,0,100
Qd6c,0,100
Qd7c,0,100
QdJc,100,0
QdQc,100,0
Qd7d,100,0
Qd8d,100,0
Qd9d,100,0
QdTd,100,0
QdJd,100,0
Qd2h,0,100
Qd3h,0,100
Qd4h,0,100
Qd5h,0,100
Qd6h,0,100
Qd7h,0,100
QdJh,100,0
Qd2s,0,100
Qd3s,0,100
Qd4s,0,100
Qd5s,0,100
Qd6s,0,100
Qd7s,0,100
QdJs,100,0
KdQc,100,0
KdKc,100,0
Kd8d,100,0
Kd9d,100,0
KdTd,100,0
KdJd,100,0
KdQd,100,0
KdQh,100,0
KdQs,100,0
AdAc,100,0
AdTd,100,0
AdJd,100,0
AdQd,100,0
AdKd,100,0
4h2h,0,100
4h3h,0,100
5h4c,0,100
5h5c,100,0
5h4d,0,100
5h5d,100,0
5h2h,0,100
5h3h,0,100
5h4s,0,100
6h5c,0,100
6h6c,100,0
6h5d,0,100
6h6d,100,0
6h3h,0,100
6h5s,0,100
7h5c,0,100
7h6c,0,100
7h7c,100,0
7h5d,0,100
7h6d,0,100
7h7d,100,0
7h3h,0,100
7h4h,0,100
7h5s,0,100
7h6s,0,100
8h5c,0,100
8h6c,0,100
8h7c,0,100
8h8c,100,0
8h5d,0,100
8h6d,0,100
8h7d,0,100
8h8d,100,0
8h2h,0,100
8h3h,0,100
8h4h,0,100
8h5s,0,100
8h6s,0,100
8h7s,0,100
9h5c,0,100
9h6c,0,100
9h7c,0,100
9h8c,0,100
9h9c,100,0
9h5d,0,100
9h6d,0,100
9h7d,0,100
9h8d,0,100
9h9d,100,0
9h2h,0,100
9h3h,0,100
9h4h,0,100
9h5h,0,100
9h8h,100,0
9h5s,0,100
9h6s,0,100
9h7s,0,100
9h8s,0,100
Th5c,0,100
Th6c,0,100
Th7c,0,100
Th8c,0,100
ThTc,100,0
Th5d,0,100
Th6d,0,100
Th7d,0,100
Th8d,0,100
ThTd,100,0
Th2h,0,100
Th3h,0,100
Th4h,0,100
Th5h,0,100
Th8h,100,0
Th9h,100,0
Th5s,0,100
Th6s,0,100
Th7s,0,100
Th8s,0,100
Jh3c,0,100
Jh4c,0,100
Jh5c,0,100
Jh6c,0,100
Jh7c,0,100
Jh8c,0,100
JhTc,100,0
JhJc,100,0
Jh3d,0,100
Jh4d,0,100
Jh5d,0,100
Jh6d,0,100
Jh7d,0,100
Jh8d,0,100
JhTd,100,0
JhJd,100,0
Jh2h,0,100
Jh3h,0,100
Jh8h,100,0
Jh9h,100,0
JhTh,100,0
Jh3s,0,100
Jh4s,0,100
Jh5s,0,100
Jh6s,0,100
Jh7s,0,100
Jh8s,0,100
JhTs,100,0
Qh2c,0,100
Qh3c,0,100
Qh4c,0,100
Qh5c,0,100
Qh6c,0,100
Qh7c,0,100
QhJc,100,0
QhQc,100,0
Qh2d,0,100
Qh3d,0,100
