BB vs Ls BB
Hand,CALL,FOLD
6c4d,0,100
6c4h,0,100
6c4s,0,100
7c2d,0,100
7c3d,0,100
7c4d,0,100
7c6d,0,100
7c2h,0,100
7c3h,0,100
7c4h,0,100
7c6h,0,100
7c2s,0,100
7c3s,0,100
7c4s,0,100
7c6s,0,100
8c4d,0,100
8c5d,0,100
8c6d,0,100
8c4h,0,100
8c5h,0,100
8c6h,0,100
8c4s,0,100
8c5s,0,100
8c6s,0,100
9c8c,100,0
9c2d,0,100
9c5d,0,100
9c6d,0,100
9c2h,0,100
9c5h,0,100
9c6h,0,100
9c2s,0,100
9c5s,0,100
9c6s,0,100
Tc8c,100,0
Tc9c,100,0
Tc2d,0,100
Tc3d,0,100
Tc4d,0,100
Tc5d,0,100
Tc7d,0,100
Tc9d,0,100
Tc2h,0,100
Tc3h,0,100
Tc4h,0,100
Tc5h,0,100
Tc7h,0,100
Tc9h,0,100
Tc2s,0,100
Tc3s,0,100
Tc4s,0,100
Tc5s,0,100
Tc7s,0,100
Tc9s,0,100
Jc8c,100,0
Jc9c,100,0
JcTc,100,0
Jc2d,0,100
Jc3d,0,100
Jc5d,0,100
Jc7d,0,100
Jc9d,0,100
JcTd,100,0
Jc2h,0,100
Jc3h,0,100
Jc5h,0,100
Jc7h,0,100
Jc9h,0,100
JcTh,100,0
Jc2s,0,100
Jc3s,0,100
Jc5s,0,100
Jc7s,0,100
Jc9s,0,100
JcTs,100,0
Qc8c,100,0
Qc9c,100,0
QcTc,100,0
QcJc,100,0
Qc3d,0,100
Qc5d,0,100
Qc7d,0,100
Qc9d,0,100
QcTd,100,0
QcJd,100,0
Qc3h,0,100
Qc5h,0,100
Qc7h,0,100
Qc9h,0,100
QcTh,100,0
QcJh,100,0
Qc3s,0,100
Qc5s,0,100
Qc7s,0,100
Qc9s,0,100
QcTs,100,0
QcJs,100,0
Kc7c,100,0
Kc8c,100,0
Kc9c,100,0
KcTc,100,0
KcJc,100,0
KcQc,100,0
KcQd,100,0
KcQh,100,0
KcQs,100,0
Ac5c,100,0
Ac6c,100,0
Ac7c,100,0
AcTc,100,0
AcJc,100,0
AcQc,100,0
AcKc,100,0
5d5c,100,0
6d4c,0,100
6d6c,100,0
6d4h,0,100
6d4s,0,100
7d2c,0,100
7d3c,0,100
7d4c,0,100
7d6c,0,100
7d7c,100,0
7d2h,0,100
7d3h,0,100
7d4h,0,100
7d6h,0,100
7d2s,0,100
7d3s,0,100
7d4s,0,100
7d6s,0,100
8d4c,0,100
8d5c,0,100
8d6c,0,100
8d8c,100,0
8d4h,0,100
8d5h,0,100
8d6h,0,100
8d4s,0,100
8d5s,0,100
8d6s,0,100
9d2c,0,100
9d5c,0,100
9d6c,0,100
9d9c,100,0
9d8d,100,0
9d2h,0,100
9d5h,0,100
9d6h,0,100
9d2s,0,100
9d5s,0,100
9d6s,0,100
Td2c,0,100
Td3c,0,100
Td4c,0,100
Td5c,0,100
Td7c,0,100
Td9c,0,100
TdTc,100,0
Td8d,100,0
Td9d,100,0
Td2h,0,100
Td3h,0,100
Td4h,0,100
Td5h,0,100
Td7h,0,100
Td9h,0,100
Td2s,0,100
Td3s,0,100
Td4s,0,100
Td5s,0,100
Td7s,0,100
Td9s,0,100
Jd2c,0,100
Jd3c,0,100
Jd5c,0,100
Jd7c,0,100
Jd9c,0,100
JdTc,100,0
JdJc,100,0
Jd8d,100,0
Jd9d,100,0
JdTd,100,0
Jd2h,0,100
Jd3h,0,100
Jd5h,0,100
Jd7h,0,100
Jd9h,0,100
JdTh,100,0
Jd2s,0,100
Jd3s,0,100
Jd5s,0,100
Jd7s,0,100
Jd9s,0,100
JdTs,100,0
Qd3c,0,100
Qd5c,0,100
Qd7c,0,100
Qd9c,0,100
